Design Line,Option,Compatibility Class,Order Status,Required Qty,Order Qty,References,Description,Manufacturer,Manufacturer Part Number,Mouser Part Number,Supply / Stock,PCB Change,Mechanical Change,Engineering Notes,Source URL
10,ALTERNATE,A,APPROVED OPTION,1,0,R20,33 kohm 1% 0.1 W 0603 resistor,Vishay,CRCW060333K0FKEA,71-CRCW0603-33K-E3,"94,610 snapshot",NO,NO,Direct resistor substitute.,https://www.mouser.com/c/?q=CRCW060333K0FKEA
11,ALTERNATE,A,APPROVED OPTION,2,0,R22 R29,27 kohm 1% 0.1 W 0603 resistor,Vishay,CRCW060327K0FKEA,,"60,143 snapshot",NO,NO,Direct resistor substitute.,https://www.mouser.com/c/?q=CRCW060327K0FKEA
12,ALTERNATE,A,APPROVED OPTION,2,0,R23 R28,2 kohm 1% 0.1 W 0603 resistor,Vishay,CRCW06032K00FKEA,71-CRCW0603-2.0K-E3,528k+ snapshot,NO,NO,Direct resistor substitute.,https://www.mouser.com/c/?q=CRCW06032K00FKEA
13,ALTERNATE,A,APPROVED OPTION,3,0,R5 R24 R31,100 kohm 1% 0.1 W 0603 resistor,Vishay,CRCW0603100KFKEA,,Listing verified; recheck before PO,NO,NO,Direct resistor substitute.,https://www.mouser.com/c/?q=CRCW0603100KFKEA
14,ALTERNATE,A,APPROVED OPTION,6,0,R11 R16 R17 R25 R26 R27,10 kohm 1% 0.1 W 0603 resistor,Vishay,CRCW060310K0FKEA,,Listing verified; recheck before PO,NO,NO,Direct resistor substitute.,https://www.mouser.com/c/?q=CRCW060310K0FKEA
15,ALTERNATE,A,APPROVED OPTION,3,0,R21 R30 R45,4.7 kohm 1% 0.1 W 0603 resistor,Vishay,CRCW06034K70FKEA,71-CRCW0603-4.7K-E3,Listing verified; recheck before PO,NO,NO,Direct resistor substitute.,https://www.mouser.com/c/?q=CRCW06034K70FKEA
16,ALTERNATE,A,APPROVED OPTION,2,0,R3 R4,5.1 kohm 1% 0.1 W 0603 resistor,Vishay,CRCW06035K10FKEA,,Listing verified; recheck before PO,NO,NO,Direct resistor substitute.,https://www.mouser.com/c/?q=CRCW06035K10FKEA
17,ALTERNATE,A,APPROVED OPTION,1,0,R9,3.32 kohm 1% 0.1 W 0603 resistor,Vishay,CRCW06033K32FKEA,71-CRCW0603-3.32K-E3,"21,653 snapshot",NO,NO,Direct resistor substitute.,https://www.mouser.com/c/?q=CRCW06033K32FKEA
18,ALTERNATE,A,APPROVED OPTION,1,0,R32,68 kohm 1% 0.1 W 0603 resistor,Vishay,CRCW060368K0FKEA,71-CRCW0603-68K-E3,"27,307 snapshot",NO,NO,Direct resistor substitute.,https://www.mouser.com/c/?q=CRCW060368K0FKEA
19,ALTERNATE,A,APPROVED OPTION,1,0,R33,82 kohm 1% 0.1 W 0603 resistor,Vishay,CRCW060382K0FKEA,,Listing verified; recheck before PO,NO,NO,Direct resistor substitute.,https://www.mouser.com/c/?q=CRCW060382K0FKEA
20,ALTERNATE,A,APPROVED OPTION,7,0,R6 R7 R8 R12 R13 R14 R15,1 kohm 1% 0.1 W 0603 resistor,Vishay,CRCW06031K00FKEA,,Listing verified; recheck before PO,NO,NO,Direct resistor substitute.,https://www.mouser.com/c/?q=CRCW06031K00FKEA
21,ALTERNATE,B,APPROVED OPTION,1,0,RV1,10 kohm linear through-hole volume potentiometer,Bourns,PTV09A-2015U-B103,652-PTV09A2015UB103,~300 regional snapshot,NO,YES,Same electrical family and PCB mounting; U-shaft differs from the primary F-shaft. Verify knob/shaft mechanical fit.,https://www.mouser.com/c/?q=PTV09A-2015U-B103
22,ALTERNATE,A,APPROVED OPTION,1,0,U5,PCM5102A stereo audio DAC,Texas Instruments,PCM5102APW,595-PCM5102APW,In stock snapshot,NO,NO,Same silicon/package/pinout; packaging-only alternate to PCM5102APWR.,https://www.mouser.com/c/?q=PCM5102APW
25,ALTERNATE,A,APPROVED OPTION,2,0,FB1 FB4,Ferrite bead 0603,Murata Electronics,BLM18SP601SN1D,81-BLM18SP601SN1D,"18,672 snapshot",NO,NO,Same 0603 class and 600-ohm impedance target; verify DC current/impedance curve against final rail current.,https://www.mouser.com/c/?q=BLM18SP601SN1D
26,ALTERNATE,A,APPROVED OPTION,1,0,D1,PMEG40T30ER Schottky diode,Nexperia,PMEG4030ER-QX,771-PMEG4030ER-QX,"1,523 snapshot",NO,NO,Same package class and key ratings; automotive-qualified variant.,https://www.mouser.com/c/?q=PMEG4030ER-QX
27,ALTERNATE,B,APPROVED OPTION,1,0,D2,Red 0603 LED,Kingbright,AP1608EC,604-AP1608EC,Listing verified; recheck before PO,NO,NO,Same 0603 function; optical intensity/viewing characteristics differ.,https://www.mouser.com/c/?q=AP1608EC
28,ALTERNATE,B,APPROVED OPTION,1,0,D3,Green 0603 LED,Kingbright,APT1608SGC,604-APT1608SGC,"94,174 snapshot",NO,NO,Same 0603 function; optical intensity/color bin differs.,https://www.mouser.com/c/?q=APT1608SGC
29,ALTERNATE,B,APPROVED OPTION,1,0,D4,Orange 0603 LED,Kingbright,APT1608SECK,604-APT1608SECK,Listing verified; recheck before PO,NO,NO,Same 0603 function; optical intensity/color bin differs.,https://www.mouser.com/c/?q=APT1608SECK
30,ALTERNATE,A,APPROVED OPTION,1,0,D5,BAT54C dual common-cathode Schottky diode,onsemi,BAT54CLT1G,863-BAT54CLT1G,"11,495 regional snapshot",NO,NO,Direct pin/function/package substitute.,https://www.mouser.com/c/?q=BAT54CLT1G
31,ALTERNATE,A,APPROVED OPTION,2,0,Q1 Q2,P-channel MOSFET,Diodes Incorporated,DMP2035UQ-7,621-DMP2035UQ-7,"4,285 snapshot",NO,NO,Same-family qualified variant; direct footprint/pinout substitute.,https://www.mouser.com/c/?q=DMP2035UQ-7
32,ALTERNATE,C,ENGINEERING REVIEW,1,0,SW19,SPDT through-hole slide power switch,E-Switch,EG1218,,Listing verified; mechanical check required,VERIFY,YES,"Electrical function matches. Verify pin spacing, actuator height and case envelope against the SparkFun 11.6 x 4.0 mm custom footprint.",https://www.mouser.com/c/?q=EG1218
33,ALTERNATE,B,APPROVED OPTION,1,0,TH1 board header,1x02 2.54 mm vertical header for thermistor,Samtec,TSW-102-07-G-S,200-TSW10207GS,Listing verified; recheck before PO,NO,VERIFY,Fits the generic 1x02 2.54 mm footprint. Verify insulator height and mating/pin length.,https://www.mouser.com/c/?q=TSW-102-07-G-S
34,ALTERNATE,A,APPROVED OPTION,1,0,U1,Single-cell Li-Ion/Li-Po charge controller,Microchip Technology,MCP73833T-FCI/UN,579-MCP73833T-FCI/UN,"2,956 snapshot",NO,NO,Same device/package/pinout; tape-and-reel packaging variant.,https://www.mouser.com/c/?q=MCP73833T-FCI%2FUN
35,ALTERNATE,B,APPROVED OPTION,1,0,U2,JST-PH right-angle 2-pin battery header,JST,S2B-PH-K-S-GW,306-S2BPHKSGWPP,"3,783 snapshot",NO,VERIFY,Same JST PH geometry/mating system; GW material/spec variant. Verify body/keying/material requirement.,https://www.mouser.com/c/?q=S2B-PH-K-S-GW
36,ALTERNATE,B,APPROVED OPTION,14,0,SW2 SW3 SW4 SW5 SW6 SW7 SW8 SW9 SW10 SW11 SW12 SW13 SW14 SW15,Tactile pushbutton switch,E-Switch,TL3301NF260QG,612-TL3301NF,"1,102 snapshot",NO,NO,Same TL3301 footprint/family; actuation force increases from 160 gf to 260 gf.,https://www.mouser.com/c/?q=TL3301NF260QG
38,ALTERNATE,A,APPROVED OPTION,1,0,U3,16-bit I2C GPIO expander,Microchip Technology,MCP23017T-E/SO,,Listing verified; recheck before PO,NO,NO,Same device/package/pinout; packaging-only alternate.,https://www.mouser.com/c/?q=MCP23017T-E%2FSO
39,ALTERNATE,A,APPROVED OPTION,1,0,U4,8-channel 12-bit I2C ADC,Texas Instruments,ADS7828E/250,,In stock listing,NO,NO,Same ADC/device/package/pinout; packaging-quantity alternate.,https://www.mouser.com/c/?q=ADS7828E%2F250
40,ALTERNATE,C,ENGINEERING REVIEW,2,0,LS1 LS3 speakers,20 mm 8 ohm 1 W wired speaker,Same Sky,CES-24205-18-L200,179-CES-24205-18L200,New-product listing; recheck before PO,NO,YES,"Electrical power/impedance match for L/R channels, but enclosure geometry and lead termination differ.",https://www.mouser.com/c/?q=CES-24205-18-L200
41,ALTERNATE,C,ENGINEERING REVIEW,1,0,LS2 speaker,32 mm 8 ohm 3 W center speaker,PUI Audio,AS03208MS-3-R,665-AS03208MS-3-R,"1,113 snapshot",NO,YES,"Near mechanical/electrical replacement for center speaker; verify depth, mounting and termination.",https://www.mouser.com/c/?q=AS03208MS-3-R
42,ALTERNATE,C,ENGINEERING REVIEW,1,0,TH1 thermistor,10 kohm NTC thermistor,Vishay / BCcomponents,NTCLE100E3103GB0,594-2381-640-64103,"2,962 snapshot",NO,YES,"Electrical characteristic is close, but this is radial leaded rather than a wired probe. Add wiring/insulation and validate charge-temperature thresholds.",https://www.mouser.com/c/?q=NTCLE100E3103GB0
